"id","split","category","case_type","source_file","expected_entity","question","expected_relation_types","required_sections","expected_keywords","min_keyword_hits"
"QA013","test","pest","symptom","棉铃虫","棉铃虫","棉铃虫有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","棉铃虫|叶片|果实|嫩梢|腐烂|脱落","2"
"QA014","test","pest","method","棉铃虫","棉铃虫","棉铃虫应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","棉铃虫|成虫|卵|雄成虫|喷药|药剂","2"
"QA015","test","disease","symptom","葡萄白粉病","葡萄白粉病","葡萄白粉病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄白粉病|叶片|果实|果粒|果穗|枝蔓","2"
"QA016","test","disease","method","葡萄白粉病","葡萄白粉病","葡萄白粉病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄白粉病|越冬|烧毁|通风透光|石硫合剂|喷药","2"
"QA017","test","pest","symptom","葡萄白粉虱","葡萄白粉虱","葡萄白粉虱有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄白粉虱|叶片|果实|脱落|若虫","2"
"QA018","test","pest","method","葡萄白粉虱","葡萄白粉虱","葡萄白粉虱应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄白粉虱|成虫|若虫|药剂","2"
"QA019","test","disease","symptom","葡萄白腐病","葡萄白腐病","葡萄白腐病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄白腐病|叶片|果粒|果穗|枝蔓|穗轴","2"
"QA020","test","disease","method","葡萄白腐病","葡萄白腐病","葡萄白腐病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄白腐病|果实|果粒|枝蔓|越冬|传播","2"
"QA021","test","pest","symptom","葡萄短须螨","葡萄短须螨","葡萄短须螨有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄短须螨|叶片|果实|果粒|果穗|新梢","2"
"QA022","test","pest","method","葡萄短须螨","葡萄短须螨","葡萄短须螨应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄短须螨|成虫|雌成虫|越冬|烧毁|石硫合剂","2"
"QA023","test","pest","symptom","葡萄二星叶蝉","葡萄二星叶蝉","葡萄二星叶蝉有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄二星叶蝉|叶片|果实|叶背|白色|脱落","2"
"QA024","test","pest","method","葡萄二星叶蝉","葡萄二星叶蝉","葡萄二星叶蝉应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄二星叶蝉|成虫|若虫|越冬|清除|烧毁","2"
"QA025","test","disease","symptom","葡萄房枯病","葡萄房枯病","葡萄房枯病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄房枯病|叶片|果粒|穗轴|白色|褐色","2"
"QA026","test","disease","method","葡萄房枯病","葡萄房枯病","葡萄房枯病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄房枯病|果穗|根系|越冬|清除|烧毁","2"
"QA027","test","disease","symptom","葡萄根癌病","葡萄根癌病","葡萄根癌病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄根癌病|叶片|果粒|果穗|白色|褐色","2"
"QA028","test","disease","method","葡萄根癌病","葡萄根癌病","葡萄根癌病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄根癌病|根部|传播|烧毁|石硫合剂|硫酸铜","2"
"QA029","test","pest","symptom","葡萄根瘤蚜","葡萄根瘤蚜","葡萄根瘤蚜有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄根瘤蚜|叶片|根系|根部|枯死|虫瘿","2"
"QA030","test","pest","method","葡萄根瘤蚜","葡萄根瘤蚜","葡萄根瘤蚜应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄根瘤蚜|根瘤|辛硫磷|检疫|苗木","2"
"QA031","test","disease","symptom","葡萄褐斑病","葡萄褐斑病","葡萄褐斑病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄褐斑病|叶片|褐色|黑色|斑点|病斑","2"
"QA032","test","disease","method","葡萄褐斑病","葡萄褐斑病","葡萄褐斑病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄褐斑病|越冬|清除|烧毁|深埋|通风透光","2"
"QA033","test","disease","symptom","葡萄黑痘病","葡萄黑痘病","葡萄黑痘病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄黑痘病|叶片|果实|果粒|新梢|穗轴","2"
"QA034","test","disease","method","葡萄黑痘病","葡萄黑痘病","葡萄黑痘病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄黑痘病|越冬|传播|清除|烧毁|修剪","2"
"QA035","test","disease","symptom","葡萄黑腐病","葡萄黑腐病","葡萄黑腐病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄黑腐病|叶片|果实|果粒|果穗|新梢","2"
"QA036","test","disease","method","葡萄黑腐病","葡萄黑腐病","葡萄黑腐病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄黑腐病|清除|烧毁|深埋|喷药|药剂","2"
"QA037","test","pest","symptom","葡萄虎蛾","葡萄虎蛾","葡萄虎蛾有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄虎蛾|叶片|枝蔓|幼虫","2"
"QA038","test","pest","method","葡萄虎蛾","葡萄虎蛾","葡萄虎蛾应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄虎蛾|叶背|成虫|幼虫|越冬|药剂","2"
"QA039","test","pest","symptom","葡萄虎天牛","葡萄虎天牛","葡萄虎天牛有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄虎天牛|叶片|枝蔓|枝条|蛀食|成虫","2"
"QA040","test","pest","method","葡萄虎天牛","葡萄虎天牛","葡萄虎天牛应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄虎天牛|枝蔓|成虫|幼虫|清除|烧毁","2"
"QA041","test","disease","symptom","葡萄黄点病","葡萄黄点病","葡萄黄点病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄黄点病|叶片|白色|斑点|病斑|黄白色","2"
"QA042","test","disease","method","葡萄黄点病","葡萄黄点病","葡萄黄点病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄黄点病|脱毒|把茎尖置于|20|27|培养箱中培养","2"
"QA043","test","disease","symptom","葡萄灰霉病","葡萄灰霉病","葡萄灰霉病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄灰霉病|叶片|果实|果粒|果穗|新梢","2"
"QA044","test","disease","method","葡萄灰霉病","葡萄灰霉病","葡萄灰霉病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄灰霉病|果实|果粒|果穗|枝蔓|花穗","2"
"QA045","test","disease","symptom","葡萄卷叶病","葡萄卷叶病","葡萄卷叶病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄卷叶病|叶片|果实|果穗|叶柄|白色","2"
"QA046","test","disease","method","葡萄卷叶病","葡萄卷叶病","葡萄卷叶病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄卷叶病|检疫|脱毒|苗木","2"
"QA047","test","disease","symptom","葡萄蔓割病","葡萄蔓割病","葡萄蔓割病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄蔓割病|叶片|果实|枝蔓|新梢|褐色","2"
"QA048","test","disease","method","葡萄蔓割病","葡萄蔓割病","葡萄蔓割病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄蔓割病|枝蔓|病斑|修剪|通风透光|石硫合剂","2"
"QA049","test","disease","symptom","葡萄霉霜病","葡萄霜霉病","葡萄霜霉病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄霜霉病|叶片|果粒|果穗|叶背|嫩梢","2"
"QA050","test","disease","method","葡萄霉霜病","葡萄霜霉病","葡萄霜霉病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄霜霉病|叶片|果实|枝蔓|越冬|多雨","2"
"QA051","test","pest","symptom","葡萄缺节瘿螨","葡萄缺节瘿螨","葡萄缺节瘿螨有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|发生规律|防治方法","葡萄缺节瘿螨|叶片|枝蔓|嫩梢|白色|褐色","2"
"QA052","test","pest","method","葡萄缺节瘿螨","葡萄缺节瘿螨","葡萄缺节瘿螨应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|发生规律|防治方法","葡萄缺节瘿螨|越冬|传播|烧毁|深埋|石硫合剂","2"
"QA053","test","disease","symptom","葡萄扇叶病","葡萄扇叶病","葡萄扇叶病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄扇叶病|叶片|果实|果粒|果穗|枝蔓","2"
"QA054","test","disease","method","葡萄扇叶病","葡萄扇叶病","葡萄扇叶病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄扇叶病|传播|检疫|苗木","2"
"QA055","test","pest","symptom","葡萄十星瓢萤叶甲","葡萄十星瓢萤叶甲","葡萄十星瓢萤叶甲有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄十星瓢萤叶甲|叶片|成虫|幼虫","2"
"QA056","test","pest","method","葡萄十星瓢萤叶甲","葡萄十星瓢萤叶甲","葡萄十星瓢萤叶甲应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄十星瓢萤叶甲|成虫|幼虫|卵|越冬|清除","2"
"QA057","test","disease","symptom","葡萄酸腐病","葡萄酸腐病","葡萄酸腐病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄酸腐病|果实|果粒|果穗|腐烂|汁液","2"
"QA058","test","disease","method","葡萄酸腐病","葡萄酸腐病","葡萄酸腐病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄酸腐病|果粒|果穗|通风透光|喷药|药剂","2"
"QA059","test","disease","symptom","葡萄炭疽病","葡萄炭疽病","葡萄炭疽病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄炭疽病|叶片|果粒|果穗|枝蔓|新梢","2"
"QA060","test","disease","method","葡萄炭疽病","葡萄炭疽病","葡萄炭疽病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄炭疽病|果实|果粒|枝蔓|嫩梢|越冬","2"
"QA061","test","pest","symptom","葡萄天蛾","葡萄天蛾","葡萄天蛾有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄天蛾|叶片|叶柄|孔洞|幼虫","2"
"QA062","test","pest","method","葡萄天蛾","葡萄天蛾","葡萄天蛾应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄天蛾|成虫|幼虫|喷药|药剂|毒死蜱","2"
"QA063","test","pest","symptom","葡萄透翅蛾","葡萄透翅蛾","葡萄透翅蛾有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄透翅蛾|叶片|果实|枝蔓|嫩梢|脱落","2"
"QA064","test","pest","method","葡萄透翅蛾","葡萄透翅蛾","葡萄透翅蛾应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄透翅蛾|叶片|枝蔓|新梢|枝条|成虫","2"
"QA065","test","disease","symptom","葡萄锈病","葡萄锈病","葡萄锈病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄锈病|叶片|果实|新梢|叶背|褐色","2"
"QA066","test","disease","method","葡萄锈病","葡萄锈病","葡萄锈病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄锈病|叶片|枝蔓|越冬|清除|通风透光","2"
"QA067","test","pest","symptom","葡萄烟蓟马","葡萄烟蓟马","葡萄烟蓟马有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄烟蓟马|叶片|果粒|褐色|斑点|凹陷","2"
"QA068","test","pest","method","葡萄烟蓟马","葡萄烟蓟马","葡萄烟蓟马应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄烟蓟马|清除|喷药|药剂|阿维菌素","2"
"QA069","test","disease","symptom","葡萄疫腐病","葡萄疫腐病","葡萄疫腐病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原|发病规律|防治方法","葡萄疫腐病|枝蔓|白色|褐色|病斑|腐烂","2"
"QA070","test","disease","method","葡萄疫腐病","葡萄疫腐病","葡萄疫腐病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄疫腐病|枝蔓|清除|烧毁|药剂|硫酸铜","2"
"QA071","test","pest","symptom","葡萄瘿蚊","葡萄瘿蚊","葡萄瘿蚊有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","葡萄瘿蚊|果粒|脱落|幼虫","2"
"QA072","test","pest","method","葡萄瘿蚊","葡萄瘿蚊","葡萄瘿蚊应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄瘿蚊|果穗|成虫|幼虫|卵|药剂","2"
"QA073","test","disease","symptom","穗轴褐枯病","穗轴褐枯病","穗轴褐枯病有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","为害症状|病原该病是由半知菌亚门，丝孢纲，丝孢目，链格孢属[Alternaria viticola Brun]侵染所致。分生孢子的大小为（20 ～ 47.5）μm×（7.5 ～ 17.5）μm。该病菌属弱寄生菌，能为害多种植物，引起叶斑和多汁果实的腐烂，也能腐生于各种基质上。

3. 发病规律|防治方法","穗轴褐枯病|果实|果粒|果穗|花穗|穗轴","2"
"QA074","test","disease","method","穗轴褐枯病","穗轴褐枯病","穗轴褐枯病应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","为害症状|病原该病是由半知菌亚门，丝孢纲，丝孢目，链格孢属[Alternaria viticola Brun]侵染所致。分生孢子的大小为（20 ～ 47.5）μm×（7.5 ～ 17.5）μm。该病菌属弱寄生菌，能为害多种植物，引起叶斑和多汁果实的腐烂，也能腐生于各种基质上。

3. 发病规律|防治方法","穗轴褐枯病|穗轴|修剪|通风透光|石硫合剂|药剂","2"
"QA075","test","pest","symptom","桃蛀野螟","桃蛀野螟","桃蛀野螟有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","桃蛀野螟|果实|褐色|蛀食|汁液|成虫","2"
"QA076","test","pest","method","桃蛀野螟","桃蛀野螟","桃蛀野螟应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","桃蛀野螟|果穗|成虫|幼虫|卵|越冬","2"
"QA077","test","pest","symptom","杨叶甲","杨叶甲","杨叶甲有哪些主要为害症状？","HAS_SYMPTOM|AFFECTS_PART","形态特征|为害症状|发生规律|防治方法","杨叶甲|成虫|杨叶甲主要为害葡萄|榆树等|成虫取食芽及嫩叶|常把新芽","2"
"QA078","test","pest","method","杨叶甲","杨叶甲","杨叶甲应该如何防治？","HAS_METHOD|HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","杨叶甲|成虫|幼虫|越冬|清除|烧毁","2"
"QA079","test","disease","reverse_diagnosis","葡萄霉霜病","葡萄霜霉病","叶背有白色霜霉状物，叶正面出现黄褐色病斑，可能是哪种葡萄病害？","SYMPTOM_OF|HAS_SYMPTOM","为害症状|病原|发病规律|防治方法","葡萄霜霉病|白色霜霉状物|黄褐色病斑|落叶","2"
"QA080","test","disease","reverse_diagnosis","葡萄白粉病","葡萄白粉病","叶片和果粒表面出现白粉状物，后期果粒开裂，可能是什么病？","SYMPTOM_OF|HAS_SYMPTOM","为害症状|病原|发病规律|防治方法","葡萄白粉病|白粉状物|果粒|开裂","2"
"QA081","test","disease","alias","葡萄白腐病","葡萄白腐病","水烂病、穗烂病分别是哪种葡萄病害的别称？","HAS_ALIAS|ALIAS_OF","为害症状|病原|发病规律|防治方法","葡萄白腐病|水烂病|穗烂病|果穗","2"
"QA082","test","pest","alias","葡萄二星叶蝉","葡萄二星叶蝉","葡萄浮尘子、小叶蝉、二点叶蝉说的是哪种害虫？","HAS_ALIAS|ALIAS_OF","形态特征|为害症状|发生规律|防治方法","葡萄二星叶蝉|葡萄浮尘子|小叶蝉|二点叶蝉","2"
"QA083","test","disease","treatment_dosage","葡萄霉霜病","葡萄霜霉病","防治葡萄霜霉病时，50%烯酰吗啉水分散粒剂一般用多少倍液？","HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄霜霉病|烯酰吗啉|1500|2000|倍液","3"
"QA084","test","disease","treatment_dosage","葡萄白粉病","葡萄白粉病","葡萄白粉病发病初期，25%戊唑醇水乳剂一般使用多少倍液？","HAS_TREATMENT|USES_DRUG","为害症状|病原|发病规律|防治方法","葡萄白粉病|戊唑醇|2000|2500|倍液","3"
"QA085","test","pest","treatment_dosage","葡萄二星叶蝉","葡萄二星叶蝉","防治葡萄二星叶蝉时，70%吡虫啉水分散粒剂一般用多少倍液？","HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄二星叶蝉|吡虫啉|8000|10000|倍液","3"
"QA086","test","pest","treatment_dosage","葡萄根瘤蚜","葡萄根瘤蚜","发生葡萄根瘤蚜的园地用辛硫磷灌根时，资料中给出的浓度和用量是什么？","HAS_TREATMENT|USES_DRUG","形态特征|为害症状|发生规律|防治方法","葡萄根瘤蚜|辛硫磷|1500|灌根|15kg","3"
"QA087","test","disease","condition_reasoning","葡萄黑腐病","葡萄黑腐病","为什么夏季高温多雨时葡萄黑腐病更容易发生？","HAS_RULE|FAVORED_BY","为害症状|病原|发病规律|防治方法","葡萄黑腐病|高温多雨|水滴|水膜|再侵染","2"
"QA088","test","disease","condition_reasoning","葡萄白腐病","葡萄白腐病","暴风雨或冰雹后为什么要重点预防葡萄白腐病？","HAS_RULE|FAVORED_BY","为害症状|病原|发病规律|防治方法","葡萄白腐病|暴风雨|冰雹|伤口|高温高湿","2"
"QA089","test","disease","reverse_diagnosis","葡萄酸腐病","葡萄酸腐病","葡萄转色后果粒腐烂并有醋酸味，还招来果蝇，可能是什么病？","SYMPTOM_OF|HAS_SYMPTOM","为害症状|病原|发病规律|防治方法","葡萄酸腐病|醋酸|果蝇|腐烂|转色","2"
"QA090","test","pest","reverse_diagnosis","葡萄短须螨","葡萄短须螨","叶脉两侧出现褐色锈斑，严重时叶片失绿变黄、枯焦脱落，可能是哪种螨害？","SYMPTOM_OF|HAS_SYMPTOM","形态特征|为害症状|发生规律|防治方法","葡萄短须螨|褐色锈斑|失绿|枯焦|脱落","2"
"QA091","test","disease","vector_reasoning","葡萄扇叶病","葡萄扇叶病","葡萄扇叶病可以由哪些土壤线虫传播？","TRANSMITTED_BY|HAS_RULE","为害症状|病原|发病规律|防治方法","葡萄扇叶病|线虫|加州剑线虫|麦考岁剑线虫|意大利剑线虫","2"
"QA092","test","disease","transmission","葡萄黄点病","葡萄黄点病","葡萄黄点病在自然条件下主要通过哪些方式传播？","HAS_RULE|TRANSMITTED_BY","为害症状|病原|发病规律|防治方法","葡萄黄点病|工具|嫁接|繁殖材料|类病毒","2"
"QA093","test","disease","transmission","葡萄卷叶病","葡萄卷叶病","葡萄卷叶病为什么要重视接穗和砧木检疫？","HAS_RULE|TRANSMITTED_BY","为害症状|病原|发病规律|防治方法","葡萄卷叶病|嫁接|接穗|砧木|病毒","2"
"QA094","test","disease","pathogen","白纹羽烂根病","白纹羽烂根病","白纹羽烂根病的病原是什么，病菌能在土壤中存活多久？","HAS_PATHOGEN|HAS_RULE","为害症状|病原|发病规律|防治方法","白纹羽烂根病|褐座坚壳菌|菌索|菌核|5年以上","2"
"QA095","test","disease","pathogen","葡萄黑痘病","葡萄黑痘病","葡萄黑痘病的病原菌是什么？","HAS_PATHOGEN","为害症状|病原|发病规律|防治方法","葡萄黑痘病|葡萄痂囊腔菌|Elsinoe|ampelina","2"
"QA096","test","pest","period","葡萄虎天牛","葡萄虎天牛","葡萄虎天牛在一年中什么时候羽化，主要怎样越冬？","OCCURS_IN|HAS_RULE","形态特征|为害症状|发生规律|防治方法","葡萄虎天牛|幼虫|越冬|8 月份|羽化","2"
"QA097","test","pest","method","葡萄白粉虱","葡萄白粉虱","温室葡萄发生白粉虱时，可以采用哪些非化学防治措施？","HAS_METHOD","形态特征|为害症状|发生规律|防治方法","葡萄白粉虱|黄色板|黏油|丽蚜小蜂|生物防治","2"
"QA098","test","general","unknown_guardrail","","","葡萄感染火星红斑病毒后应该喷什么药？","","","暂时无法回答|现有知识|未找到|无法回答","1"
